SA2_MAINCODE_2016,SA2_NAME_2016,SED_CODE_2018,SED_NAME_2018,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
202021026,Bendigo Region - South,20804,Bendigo West (Northern Victoria),0.5850264,Acceptable,Acceptable,0
202021027,Castlemaine,20804,Bendigo West (Northern Victoria),1,Acceptable,Acceptable,0
202021028,Castlemaine Region,20804,Bendigo West (Northern Victoria),0.7556865,Acceptable,Acceptable,0
202021028,Castlemaine Region,22704,Euroa (Northern Victoria),0.0291102,Good,Acceptable,0
202021028,Castlemaine Region,24504,Macedon (Northern Victoria),0.2152033,Good,Acceptable,0
202021029,Heathcote,20704,Bendigo East (Northern Victoria),0.178,Acceptable,Acceptable,0
202021029,Heathcote,22704,Euroa (Northern Victoria),0.822,Good,Acceptable,0
202021030,Kyneton,24504,Macedon (Northern Victoria),1,Good,Acceptable,0
202021031,Woodend,24504,Macedon (Northern Victoria),1,Good,Acceptable,0
202031032,Bendigo Region - North,20704,Bendigo East (Northern Victoria),0.9174333,Acceptable,Acceptable,0
202031032,Bendigo Region - North,20804,Bendigo West (Northern Victoria),0.0825667,Acceptable,Acceptable,0
202031033,Loddon,20704,Bendigo East (Northern Victoria),0.0918152,Acceptable,Acceptable,0
202031033,Loddon,25704,Murray Plains (Northern Victoria),0.3376386,Good,Acceptable,0
202031033,Loddon,27208,Ripon (Western Victoria),0.5705461,Acceptable,Acceptable,0
203011034,Bannockburn,26708,Polwarth (Western Victoria),1,Good,Acceptable,0
203011035,Golden Plains - South,21608,Buninyong (Western Victoria),0.4344202,Acceptable,Acceptable,0
203011035,Golden Plains - South,26708,Polwarth (Western Victoria),0.5655798,Good,Acceptable,0
203011036,Winchelsea,26708,Polwarth (Western Victoria),0.6238245,Good,Acceptable,0
203011036,Winchelsea,27608,South Barwon (Western Victoria),0.3761755,Good,Acceptable,0
203021037,Belmont,23308,Geelong (Western Victoria),0.9779512,Good,Acceptable,0
203021037,Belmont,27608,South Barwon (Western Victoria),0.0220488,Good,Acceptable,0
203021038,Corio - Norlane,24308,Lara (Western Victoria),1,Good,Acceptable,0
203021039,Geelong,23308,Geelong (Western Victoria),1,Good,Acceptable,0
203021040,Geelong West - Hamlyn Heights,23308,Geelong (Western Victoria),0.6690984,Good,Acceptable,0
203021040,Geelong West - Hamlyn Heights,24308,Lara (Western Victoria),0.3233496,Good,Acceptable,0
203021040,Geelong West - Hamlyn Heights,26708,Polwarth (Western Victoria),0.007552,Good,Acceptable,1
203021041,Grovedale,27608,South Barwon (Western Victoria),1,Good,Acceptable,0
203021042,Highton,27608,South Barwon (Western Victoria),1,Good,Acceptable,0
203021043,Lara,24308,Lara (Western Victoria),1,Good,Acceptable,0
203021044,Leopold,20508,Bellarine (Western Victoria),1,Good,Acceptable,0
203021045,Newcomb - Moolap,20508,Bellarine (Western Victoria),0.0892883,Good,Acceptable,0
203021045,Newcomb - Moolap,23308,Geelong (Western Victoria),0.9107117,Good,Acceptable,0
203021046,Newtown (Vic.),23308,Geelong (Western Victoria),1,Good,Acceptable,0
203021047,North Geelong - Bell Park,24308,Lara (Western Victoria),1,Good,Acceptable,0
203031048,Clifton Springs,20508,Bellarine (Western Victoria),1,Good,Acceptable,0
203031049,Lorne - Anglesea,26708,Polwarth (Western Victoria),1,Good,Acceptable,0
203031050,Ocean Grove - Barwon Heads,20508,Bellarine (Western Victoria),0.8623087,Good,Acceptable,0
203031050,Ocean Grove - Barwon Heads,27608,South Barwon (Western Victoria),0.1376913,Good,Acceptable,0
203031051,Portarlington,20508,Bellarine (Western Victoria),1,Good,Acceptable,0
203031052,Point Lonsdale - Queenscliff,20508,Bellarine (Western Victoria),1,Good,Acceptable,0
203031053,Torquay,27608,South Barwon (Western Victoria),1,Good,Acceptable,0
204011054,Alexandra,22404,Eildon (Northern Victoria),1,Good,Acceptable,0
204011055,Euroa,22704,Euroa (Northern Victoria),1,Good,Acceptable,0
204011056,Kilmore - Broadford,22704,Euroa (Northern Victoria),1,Good,Acceptable,0
204011057,Mansfield (Vic.),22404,Eildon (Northern Victoria),1,Good,Acceptable,0
204011058,Nagambie,22704,Euroa (Northern Victoria),1,Good,Acceptable,0
204011059,Seymour,22704,Euroa (Northern Victoria),1,Good,Acceptable,0
204011060,Seymour Region,22704,Euroa (Northern Victoria),1,Good,Acceptable,0
204011061,Upper Yarra Valley,22404,Eildon (Northern Victoria),1,Good,Acceptable,0
204011062,Yea,22404,Eildon (Northern Victoria),1,Good,Acceptable,0
204021063,Benalla,22704,Euroa (Northern Victoria),1,Good,Acceptable,0
204021064,Benalla Region,22704,Euroa (Northern Victoria),1,Good,Acceptable,0
204021065,Rutherglen,20604,Benambra (Northern Victoria),1,Good,Acceptable,0
204021066,Wangaratta,26504,Ovens Valley (Northern Victoria),1,Good,Acceptable,0
204021067,Wangaratta Region,26504,Ovens Valley (Northern Victoria),1,Good,Acceptable,0
204031068,Beechworth,20604,Benambra (Northern Victoria),1,Good,Acceptable,0
204031069,Bright - Mount Beauty,20604,Benambra (Northern Victoria),0.3559759,Good,Acceptable,0
204031069,Bright - Mount Beauty,26504,Ovens Valley (Northern Victoria),0.6440241,Good,Acceptable,0
204031070,Chiltern - Indigo Valley,20604,Benambra (Northern Victoria),1,Good,Acceptable,0
204031071,Myrtleford,26504,Ovens Valley (Northern Victoria),1,Good,Acceptable,0
204031072,Towong,20604,Benambra (Northern Victoria),1,Good,Acceptable,0
204031073,West Wodonga,20604,Benambra (Northern Victoria),1,Good,Acceptable,0
204031074,Wodonga,20604,Benambra (Northern Victoria),1,Good,Acceptable,0
204031075,Yackandandah,20604,Benambra (Northern Victoria),1,Good,Acceptable,0
205011076,Drouin,25802,Narracan (Eastern Victoria),1,Good,Acceptable,0
205011077,Mount Baw Baw Region,25802,Narracan (Eastern Victoria),1,Good,Acceptable,0
205011078,Trafalgar (Vic.),25802,Narracan (Eastern Victoria),1,Good,Acceptable,0
205011079,Warragul,25802,Narracan (Eastern Victoria),1,Good,Acceptable,0
205021080,Alps - East,23502,Gippsland East (Eastern Victoria),1,Good,Acceptable,0
205021081,Bairnsdale,23502,Gippsland East (Eastern Victoria),1,Good,Acceptable,0
205021082,Bruthen - Omeo,23502,Gippsland East (Eastern Victoria),1,Good,Acceptable,0
205021083,Lake King,23502,Gippsland East (Eastern Victoria),1,Good,Acceptable,0
205021084,Lakes Entrance,23502,Gippsland East (Eastern Victoria),1,Good,Acceptable,0
205021085,Orbost,23502,Gippsland East (Eastern Victoria),1,Good,Acceptable,0
205021086,Paynesville,23502,Gippsland East (Eastern Victoria),1,Good,Acceptable,0
205031087,Foster,23602,Gippsland South (Eastern Victoria),1,Good,Acceptable,0
205031088,French Island,23702,Hastings (Eastern Victoria),1,Good,Acceptable,0
205031089,Korumburra,20302,Bass (Eastern Victoria),0.017141,Good,Acceptable,0
205031089,Korumburra,23602,Gippsland South (Eastern Victoria),0.982859,Good,Acceptable,0
205031090,Leongatha,23602,Gippsland South (Eastern Victoria),1,Good,Acceptable,0
205031091,Phillip Island,20302,Bass (Eastern Victoria),1,Good,Acceptable,0
205031092,Wilsons Promontory,23602,Gippsland South (Eastern Victoria),1,Good,Acceptable,0
205031093,Wonthaggi - Inverloch,20302,Bass (Eastern Victoria),1,Good,Acceptable,0
205041094,Churchill,25402,Morwell (Eastern Victoria),1,Good,Acceptable,0
205041095,Moe - Newborough,25402,Morwell (Eastern Victoria),0.4374357,Good,Acceptable,0
205041095,Moe - Newborough,25802,Narracan (Eastern Victoria),0.5625643,Good,Acceptable,0
205041096,Morwell,25402,Morwell (Eastern Victoria),1,Good,Acceptable,0
205041097,Traralgon,25402,Morwell (Eastern Victoria),1,Good,Acceptable,0
205041098,Yallourn North - Glengarry,25402,Morwell (Eastern Victoria),0.994088,Good,Acceptable,0
205041098,Yallourn North - Glengarry,25802,Narracan (Eastern Victoria),0.005912,Good,Acceptable,1
205051099,Alps - West,23502,Gippsland East (Eastern Victoria),1,Good,Acceptable,0
205051100,Longford - Loch Sport,23502,Gippsland East (Eastern Victoria),0.0387831,Good,Acceptable,0
205051100,Longford - Loch Sport,23602,Gippsland South (Eastern Victoria),0.9612169,Good,Acceptable,0
205051101,Maffra,23502,Gippsland East (Eastern Victoria),1,Good,Acceptable,0
205051102,Rosedale,23602,Gippsland South (Eastern Victoria),0.8647959,Good,Acceptable,0
205051102,Rosedale,25402,Morwell (Eastern Victoria),0.1352041,Good,Acceptable,0
205051103,Sale,23602,Gippsland South (Eastern Victoria),1,Good,Acceptable,0
205051104,Yarram,23602,Gippsland South (Eastern Victoria),1,Good,Acceptable,0
206011105,Brunswick,21303,Brunswick (Northern Metropolitan),1,Acceptable,Acceptable,0
206011106,Brunswick East,21303,Brunswick (Northern Metropolitan),1,Acceptable,Acceptable,0
206011107,Brunswick West,21303,Brunswick (Northern Metropolitan),1,Acceptable,Acceptable,0
206011108,Coburg,21303,Brunswick (Northern Metropolitan),0.4105509,Acceptable,Acceptable,0
206011108,Coburg,26603,Pascoe Vale (Northern Metropolitan),0.5894491,Acceptable,Acceptable,0
206011109,Pascoe Vale South,21303,Brunswick (Northern Metropolitan),0.4068479,Acceptable,Acceptable,0
206011109,Pascoe Vale South,26603,Pascoe Vale (Northern Metropolitan),0.5931521,Acceptable,Acceptable,0
206021110,Alphington - Fairfield,26303,Northcote (Northern Metropolitan),1,Acceptable,Acceptable,0
206021111,Northcote,26303,Northcote (Northern Metropolitan),1,Acceptable,Acceptable,0
206021112,Thornbury,26303,Northcote (Northern Metropolitan),1,Acceptable,Acceptable,0
206031113,Ascot Vale,22607,Essendon (Western Metropolitan),1,Good,Acceptable,0
206031114,Essendon - Aberfeldie,22607,Essendon (Western Metropolitan),0.6857465,Good,Acceptable,0
206031114,Essendon - Aberfeldie,26207,Niddrie (Western Metropolitan),0.3142535,Acceptable,Acceptable,0
206031115,Flemington,22607,Essendon (Western Metropolitan),1,Good,Acceptable,0
206031116,Moonee Ponds,22607,Essendon (Western Metropolitan),0.9753121,Good,Acceptable,0
206031116,Moonee Ponds,26207,Niddrie (Western Metropolitan),0.0246879,Acceptable,Acceptable,0
206041117,Carlton,24703,Melbourne (Northern Metropolitan),1,Good,Acceptable,0
206041118,Docklands,20106,Albert Park (Southern Metropolitan),0.1916255,Acceptable,Acceptable,0
206041118,Docklands,24703,Melbourne (Northern Metropolitan),0.8083745,Good,Acceptable,0
206041119,East Melbourne,24703,Melbourne (Northern Metropolitan),1,Good,Acceptable,0
206041120,Flemington Racecourse,24703,Melbourne (Northern Metropolitan),1,Good,Acceptable,0
206041121,Kensington (Vic.),24703,Melbourne (Northern Metropolitan),1,Good,Acceptable,0
206041122,Melbourne,24703,Melbourne (Northern Metropolitan),1,Good,Acceptable,0
206041123,North Melbourne,24703,Melbourne (Northern Metropolitan),1,Good,Acceptable,0
206041124,Parkville,21303,Brunswick (Northern Metropolitan),0.3235714,Acceptable,Acceptable,0
206041124,Parkville,24703,Melbourne (Northern Metropolitan),0.6764286,Good,Acceptable,0
206041125,South Yarra - West,26806,Prahran (Southern Metropolitan),1,Acceptable,Acceptable,0
206041126,Southbank,20106,Albert Park (Southern Metropolitan),0.9998394,Acceptable,Acceptable,0
206041126,Southbank,26806,Prahran (Southern Metropolitan),0.0001606,Acceptable,Acceptable,1
206041127,West Melbourne,24703,Melbourne (Northern Metropolitan),1,Good,Acceptable,0
206051128,Albert Park,20106,Albert Park (Southern Metropolitan),0.6737137,Acceptable,Acceptable,0
206051128,Albert Park,26806,Prahran (Southern Metropolitan),0.3262863,Acceptable,Acceptable,0
206051129,Elwood,21106,Brighton (Southern Metropolitan),1,Good,Acceptable,0
206051130,Port Melbourne,20106,Albert Park (Southern Metropolitan),1,Acceptable,Acceptable,0
206051131,Port Melbourne Industrial,20106,Albert Park (Southern Metropolitan),1,Acceptable,Acceptable,0
206051132,South Melbourne,20106,Albert Park (Southern Metropolitan),1,Acceptable,Acceptable,0
206051133,St Kilda,20106,Albert Park (Southern Metropolitan),0.6552054,Acceptable,Acceptable,0
206051133,St Kilda,21906,Caulfield (Southern Metropolitan),0.0427981,Acceptable,Acceptable,0
206051133,St Kilda,26806,Prahran (Southern Metropolitan),0.3019965,Acceptable,Acceptable,0
206051134,St Kilda East,21906,Caulfield (Southern Metropolitan),0.43815,Acceptable,Acceptable,0
206051134,St Kilda East,26806,Prahran (Southern Metropolitan),0.56185,Acceptable,Acceptable,0
206061135,Armadale,24606,Malvern (Southern Metropolitan),1,Good,Acceptable,0
206061136,Prahran - Windsor,26806,Prahran (Southern Metropolitan),1,Acceptable,Acceptable,0
206061137,South Yarra - East,26806,Prahran (Southern Metropolitan),1,Acceptable,Acceptable,0
206061138,Toorak,24606,Malvern (Southern Metropolitan),0.6487461,Good,Acceptable,0
206061138,Toorak,26806,Prahran (Southern Metropolitan),0.3512539,Acceptable,Acceptable,0
206071139,Abbotsford,27003,Richmond (Northern Metropolitan),1,Good,Acceptable,0
206071140,Carlton North - Princes Hill,24703,Melbourne (Northern Metropolitan),1,Good,Acceptable,0
206071141,Collingwood,27003,Richmond (Northern Metropolitan),1,Good,Acceptable,0
206071142,Fitzroy,27003,Richmond (Northern Metropolitan),1,Good,Acceptable,0
206071143,Fitzroy North,21303,Brunswick (Northern Metropolitan),0.308242,Acceptable,Acceptable,0
206071143,Fitzroy North,27003,Richmond (Northern Metropolitan),0.691758,Good,Acceptable,0
206071144,Richmond (Vic.),27003,Richmond (Northern Metropolitan),1,Good,Acceptable,0
206071145,Yarra - North,26303,Northcote (Northern Metropolitan),0.2980621,Acceptable,Acceptable,0
206071145,Yarra - North,27003,Richmond (Northern Metropolitan),0.7019379,Good,Acceptable,0
207011146,Ashburton (Vic.),21706,Burwood (Southern Metropolitan),1,Poor,Acceptable,0
207011147,Balwyn,21001,Box Hill (Eastern Metropolitan),0.4488872,Poor,Acceptable,0
207011147,Balwyn,24006,Kew (Southern Metropolitan),0.5511128,Acceptable,Acceptable,0
207011148,Balwyn North,24006,Kew (Southern Metropolitan),1,Acceptable,Acceptable,0
207011149,Camberwell,21706,Burwood (Southern Metropolitan),0.2752074,Poor,Acceptable,0
207011149,Camberwell,23806,Hawthorn (Southern Metropolitan),0.7247926,Acceptable,Acceptable,0
207011150,Glen Iris - East,21706,Burwood (Southern Metropolitan),0.5380611,Poor,Acceptable,0
207011150,Glen Iris - East,23806,Hawthorn (Southern Metropolitan),0.4619389,Acceptable,Acceptable,0
207011151,Hawthorn,23806,Hawthorn (Southern Metropolitan),1,Acceptable,Acceptable,0
207011152,Hawthorn East,23806,Hawthorn (Southern Metropolitan),1,Acceptable,Acceptable,0
207011153,Kew,24006,Kew (Southern Metropolitan),1,Acceptable,Acceptable,0
207011154,Kew East,24006,Kew (Southern Metropolitan),1,Acceptable,Acceptable,0
207011155,Surrey Hills (West) - Canterbury,21001,Box Hill (Eastern Metropolitan),0.3314317,Poor,Acceptable,0
207011155,Surrey Hills (West) - Canterbury,21706,Burwood (Southern Metropolitan),0.2326095,Poor,Acceptable,0
207011155,Surrey Hills (West) - Canterbury,23806,Hawthorn (Southern Metropolitan),0.2541406,Acceptable,Acceptable,0
207011155,Surrey Hills (West) - Canterbury,24006,Kew (Southern Metropolitan),0.1818182,Acceptable,Acceptable,0
207021156,Bulleen,21401,Bulleen (Eastern Metropolitan),1,Good,Acceptable,0
207021157,Doncaster,21401,Bulleen (Eastern Metropolitan),1,Good,Acceptable,0
207021159,Templestowe,21401,Bulleen (Eastern Metropolitan),0.9893604,Good,Acceptable,0
207021159,Templestowe,28301,Warrandyte (Eastern Metropolitan),0.0106396,Acceptable,Acceptable,0
207021160,Templestowe Lower,21401,Bulleen (Eastern Metropolitan),1,Good,Acceptable,0
207021424,Doncaster East (North),28301,Warrandyte (Eastern Metropolitan),1,Acceptable,Acceptable,0
207021425,Doncaster East (South),28301,Warrandyte (Eastern Metropolitan),1,Acceptable,Acceptable,0
207031161,Blackburn,21001,Box Hill (Eastern Metropolitan),0.8759867,Poor,Acceptable,0
207031161,Blackburn,27101,Ringwood (Eastern Metropolitan),0.1240133,Poor,Acceptable,0
207031162,Blackburn South,23101,Forest Hill (Eastern Metropolitan),1,Good,Acceptable,0
207031163,Box Hill,21001,Box Hill (Eastern Metropolitan),0.5749697,Poor,Acceptable,0
207031163,Box Hill,21706,Burwood (Southern Metropolitan),0.4250303,Poor,Acceptable,0
207031164,Box Hill North,21001,Box Hill (Eastern Metropolitan),1,Poor,Acceptable,0
207031165,Burwood,21706,Burwood (Southern Metropolitan),1,Poor,Acceptable,0
207031166,Burwood East,23101,Forest Hill (Eastern Metropolitan),1,Good,Acceptable,0
207031167,Surrey Hills (East) - Mont Albert,21001,Box Hill (Eastern Metropolitan),0.6058358,Poor,Acceptable,0
207031167,Surrey Hills (East) - Mont Albert,21706,Burwood (Southern Metropolitan),0.3941642,Poor,Acceptable,0
208011168,Beaumaris,27406,Sandringham (Southern Metropolitan),1,Acceptable,Acceptable,0
208011169,Brighton (Vic.),21106,Brighton (Southern Metropolitan),1,Good,Acceptable,0
208011170,Brighton East,20906,Bentleigh (Southern Metropolitan),0.0584103,Acceptable,Acceptable,0
208011170,Brighton East,21106,Brighton (Southern Metropolitan),0.9415897,Good,Acceptable,0
208011171,Cheltenham - Highett (West),27406,Sandringham (Southern Metropolitan),1,Acceptable,Acceptable,0
208011172,Hampton,20906,Bentleigh (Southern Metropolitan),0.2517261,Acceptable,Acceptable,0
208011172,Hampton,21106,Brighton (Southern Metropolitan),0.5488964,Good,Acceptable,0
208011172,Hampton,27406,Sandringham (Southern Metropolitan),0.1993775,Acceptable,Acceptable,0
208011173,Sandringham - Black Rock,27406,Sandringham (Southern Metropolitan),1,Acceptable,Acceptable,0
208021174,Bentleigh - McKinnon,20906,Bentleigh (Southern Metropolitan),1,Acceptable,Acceptable,0
208021176,Carnegie,26406,Oakleigh (Southern Metropolitan),1,Poor,Acceptable,0
208021177,Caulfield - North,21906,Caulfield (Southern Metropolitan),1,Acceptable,Acceptable,0
208021178,Caulfield - South,21906,Caulfield (Southern Metropolitan),1,Acceptable,Acceptable,0
208021179,Elsternwick,21906,Caulfield (Southern Metropolitan),1,Acceptable,Acceptable,0
208021180,Hughesdale,26406,Oakleigh (Southern Metropolitan),1,Poor,Acceptable,0
208021181,Murrumbeena,26406,Oakleigh (Southern Metropolitan),1,Poor,Acceptable,0
208021182,Ormond - Glen Huntly,20906,Bentleigh (Southern Metropolitan),0.2892785,Acceptable,Acceptable,0
208021182,Ormond - Glen Huntly,21906,Caulfield (Southern Metropolitan),0.5554057,Acceptable,Acceptable,0
208021182,Ormond - Glen Huntly,26406,Oakleigh (Southern Metropolitan),0.1553158,Poor,Acceptable,0
208021426,Bentleigh East (North),20906,Bentleigh (Southern Metropolitan),0.6945553,Acceptable,Acceptable,0
208021426,Bentleigh East (North),22005,Clarinda (South-Eastern Metropolitan),0.3054447,Poor,Acceptable,0
208021427,Bentleigh East (South),20906,Bentleigh (Southern Metropolitan),1,Acceptable,Acceptable,0
208031183,Aspendale Gardens - Waterways,24105,Keysborough (South-Eastern Metropolitan),0.2732119,Acceptable,Acceptable,0
208031183,Aspendale Gardens - Waterways,25205,Mordialloc (South-Eastern Metropolitan),0.7267881,Acceptable,Acceptable,0
208031184,Braeside,24105,Keysborough (South-Eastern Metropolitan),1,Acceptable,Acceptable,0
208031185,Carrum - Patterson Lakes,21805,Carrum (South-Eastern Metropolitan),1,Good,Acceptable,0
208031186,Chelsea - Bonbeach,21805,Carrum (South-Eastern Metropolitan),0.4506029,Good,Acceptable,0
208031186,Chelsea - Bonbeach,25205,Mordialloc (South-Eastern Metropolitan),0.5493971,Acceptable,Acceptable,0
208031187,Chelsea Heights,25205,Mordialloc (South-Eastern Metropolitan),1,Acceptable,Acceptable,0
208031188,Cheltenham - Highett (East),22005,Clarinda (South-Eastern Metropolitan),0.4748789,Poor,Acceptable,0
208031188,Cheltenham - Highett (East),25205,Mordialloc (South-Eastern Metropolitan),0.2502692,Acceptable,Acceptable,0
208031188,Cheltenham - Highett (East),27406,Sandringham (Southern Metropolitan),0.274852,Acceptable,Acceptable,0
208031189,Edithvale - Aspendale,25205,Mordialloc (South-Eastern Metropolitan),1,Acceptable,Acceptable,0
208031190,Mentone,25205,Mordialloc (South-Eastern Metropolitan),0.3787342,Acceptable,Acceptable,0
208031190,Mentone,27406,Sandringham (Southern Metropolitan),0.6212658,Acceptable,Acceptable,0
208031191,Moorabbin - Heatherton,20906,Bentleigh (Southern Metropolitan),0.6704946,Acceptable,Acceptable,0
208031191,Moorabbin - Heatherton,22005,Clarinda (South-Eastern Metropolitan),0.3295054,Poor,Acceptable,0
208031192,Moorabbin Airport,25205,Mordialloc (South-Eastern Metropolitan),1,Acceptable,Acceptable,0
208031193,Mordialloc - Parkdale,25205,Mordialloc (South-Eastern Metropolitan),1,Acceptable,Acceptable,0
208041194,Malvern - Glen Iris,24606,Malvern (Southern Metropolitan),1,Good,Acceptable,0
208041195,Malvern East,24606,Malvern (Southern Metropolitan),1,Good,Acceptable,0
209011196,Bundoora - East,21503,Bundoora (Northern Metropolitan),1,Acceptable,Acceptable,0
209011197,Greensborough,21503,Bundoora (Northern Metropolitan),0.4581213,Acceptable,Acceptable,0
209011197,Greensborough,22501,Eltham (Eastern Metropolitan),0.5418787,Acceptable,Acceptable,0
209011198,Heidelberg - Rosanna,23901,Ivanhoe (Eastern Metropolitan),1,Good,Acceptable,0
209011199,Heidelberg West,23901,Ivanhoe (Eastern Metropolitan),1,Good,Acceptable,0
209011200,Ivanhoe,23901,Ivanhoe (Eastern Metropolitan),1,Good,Acceptable,0
209011201,Ivanhoe East - Eaglemont,23901,Ivanhoe (Eastern Metropolitan),1,Good,Acceptable,0
209011202,Montmorency - Briar Hill,22501,Eltham (Eastern Metropolitan),1,Acceptable,Acceptable,0
209011203,Viewbank - Yallambie,21503,Bundoora (Northern Metropolitan),0.118059,Acceptable,Acceptable,0
209011203,Viewbank - Yallambie,23901,Ivanhoe (Eastern Metropolitan),0.881941,Good,Acceptable,0
209011204,Watsonia,21503,Bundoora (Northern Metropolitan),1,Acceptable,Acceptable,0
209021205,Kingsbury,21503,Bundoora (Northern Metropolitan),1,Acceptable,Acceptable,0
209021205,Kingsbury,26903,Preston (Northern Metropolitan),0,Acceptable,Acceptable,1
209021207,Reservoir - East,26903,Preston (Northern Metropolitan),1,Acceptable,Acceptable,0
209021208,Reservoir - West,26903,Preston (Northern Metropolitan),0.7870513,Acceptable,Acceptable,0
209021208,Reservoir - West,28203,Thomastown (Northern Metropolitan),0.2129487,Acceptable,Acceptable,0
209021428,Preston - East,26303,Northcote (Northern Metropolitan),0.3057554,Acceptable,Acceptable,0
209021428,Preston - East,26903,Preston (Northern Metropolitan),0.6942446,Acceptable,Acceptable,0
209021429,Preston - West,26303,Northcote (Northern Metropolitan),0.3186379,Acceptable,Acceptable,0
209021429,Preston - West,26903,Preston (Northern Metropolitan),0.6813621,Acceptable,Acceptable,0
209031209,Eltham,22501,Eltham (Eastern Metropolitan),1,Acceptable,Acceptable,0
209031210,Hurstbridge,28704,Yan Yean (Northern Victoria),1,Good,Acceptable,0
209031211,Kinglake,22404,Eildon (Northern Victoria),1,Good,Acceptable,0
209031212,Panton Hill - St Andrews,22404,Eildon (Northern Victoria),0.8508908,Good,Acceptable,0
209031212,Panton Hill - St Andrews,28704,Yan Yean (Northern Victoria),0.1491092,Good,Acceptable,0
209031213,Plenty - Yarrambat,22501,Eltham (Eastern Metropolitan),0.5777446,Acceptable,Acceptable,0
209031213,Plenty - Yarrambat,28704,Yan Yean (Northern Victoria),0.4222554,Good,Acceptable,0
209031214,Research - North Warrandyte,22404,Eildon (Northern Victoria),0.1643795,Good,Acceptable,0
209031214,Research - North Warrandyte,22501,Eltham (Eastern Metropolitan),0.3945406,Acceptable,Acceptable,0
209031214,Research - North Warrandyte,28301,Warrandyte (Eastern Metropolitan),0.44108,Acceptable,Acceptable,0
209031215,Wattle Glen - Diamond Creek,22501,Eltham (Eastern Metropolitan),0.0651176,Acceptable,Acceptable,0
209031215,Wattle Glen - Diamond Creek,28704,Yan Yean (Northern Victoria),0.9348824,Good,Acceptable,0
209041216,Bundoora - North,21503,Bundoora (Northern Metropolitan),1,Acceptable,Acceptable,0
209041217,Bundoora - West,21503,Bundoora (Northern Metropolitan),1,Acceptable,Acceptable,0
209041219,Lalor,28203,Thomastown (Northern Metropolitan),1,Acceptable,Acceptable,0
209041220,Mill Park - North,25003,Mill Park (Northern Metropolitan),1,Acceptable,Acceptable,0
209041221,Mill Park - South,21503,Bundoora (Northern Metropolitan),0.5275597,Acceptable,Acceptable,0
209041221,Mill Park - South,25003,Mill Park (Northern Metropolitan),0.4724403,Acceptable,Acceptable,0
209041223,Thomastown,28203,Thomastown (Northern Metropolitan),1,Acceptable,Acceptable,0
209041224,Wallan,22704,Euroa (Northern Victoria),0.1748381,Good,Acceptable,0
209041224,Wallan,28704,Yan Yean (Northern Victoria),0.8251619,Good,Acceptable,0
209041225,Whittlesea,28704,Yan Yean (Northern Victoria),1,Good,Acceptable,0
209041430,Doreen,28704,Yan Yean (Northern Victoria),1,Good,Acceptable,0
209041431,Epping - East,25003,Mill Park (Northern Metropolitan),1,Acceptable,Acceptable,0
209041432,Epping - South,25003,Mill Park (Northern Metropolitan),0.5897773,Acceptable,Acceptable,0
209041432,Epping - South,28203,Thomastown (Northern Metropolitan),0.4102227,Acceptable,Acceptable,0
209041433,Epping - West,28203,Thomastown (Northern Metropolitan),1,Acceptable,Acceptable,0
209041434,Mernda,28704,Yan Yean (Northern Victoria),1,Good,Acceptable,0
209041435,South Morang (North),25003,Mill Park (Northern Metropolitan),1,Acceptable,Acceptable,0
209041436,South Morang (South),25003,Mill Park (Northern Metropolitan),1,Acceptable,Acceptable,0
209041437,Wollert,25003,Mill Park (Northern Metropolitan),0.3353571,Acceptable,Acceptable,0
209041437,Wollert,28203,Thomastown (Northern Metropolitan),0.6646429,Acceptable,Acceptable,0
210011226,Airport West,26207,Niddrie (Western Metropolitan),1,Acceptable,Acceptable,0
210011227,Essendon Airport,22607,Essendon (Western Metropolitan),1,Good,Acceptable,0
210011228,Keilor,26207,Niddrie (Western Metropolitan),0.9987027,Acceptable,Acceptable,0
210011228,Keilor,27907,Sunbury (Western Metropolitan),0.0012973,Good,Acceptable,1
210011229,Keilor East,26207,Niddrie (Western Metropolitan),1,Acceptable,Acceptable,0
210011230,Niddrie - Essendon West,26207,Niddrie (Western Metropolitan),1,Acceptable,Acceptable,0
210011231,Strathmore,22607,Essendon (Western Metropolitan),1,Good,Acceptable,0
210021232,Gisborne,24504,Macedon (Northern Victoria),1,Good,Acceptable,0
210021233,Macedon,24504,Macedon (Northern Victoria),1,Good,Acceptable,0
210021234,Riddells Creek,24504,Macedon (Northern Victoria),1,Good,Acceptable,0
210021235,Romsey,24504,Macedon (Northern Victoria),1,Good,Acceptable,0
210031236,Coburg North,26603,Pascoe Vale (Northern Metropolitan),1,Acceptable,Acceptable,0
210031237,Fawkner,21203,Broadmeadows (Northern Metropolitan),1,Acceptable,Acceptable,0
210031239,Pascoe Vale,26603,Pascoe Vale (Northern Metropolitan),1,Acceptable,Acceptable,0
210031438,Glenroy,21203,Broadmeadows (Northern Metropolitan),0.2564253,Acceptable,Acceptable,0
210031438,Glenroy,26603,Pascoe Vale (Northern Metropolitan),0.7435747,Acceptable,Acceptable,0
210031439,Gowanbrae,27907,Sunbury (Western Metropolitan),1,Good,Acceptable,0
210031440,Hadfield,26603,Pascoe Vale (Northern Metropolitan),1,Acceptable,Acceptable,0
210041240,Sunbury,27907,Sunbury (Western Metropolitan),1,Good,Acceptable,0
