LOCALITY_NAME_NOV2019,LOCALITY_PID_NOV2019,CED_CODE_2018,CED_NAME_2018,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
ACACIA HILLS,TAS4,605,Lyons,1,Good,Good,0
ACACIA RIDGE,QLD7,324,Moreton,1,Good,Good,0
ACHERON,VIC5,222,Indi,1,Good,Good,0
ACLAND,QLD8,314,Groom,1,Good,Good,0
ACTON,ACT107,802,Canberra,1,Good,Good,0
ACTON,TAS5,602,Braddon,1,Good,Good,0
ACTON PARK,TAS6,604,Franklin,1,Good,Good,0
ACTON PARK,WA2796,507,Forrest,1,Good,Good,0
ADA,VIC6,234,Monash,1,Good,Good,0
ADAMINABY,NSW15,113,Eden-Monaro,1,Good,Good,0
ADAMS ESTATE,VIC7,234,Monash,1,Good,Good,0
ADAMSTOWN,NSW16,131,Newcastle,1,Good,Good,0
ADAMSTOWN HEIGHTS,NSW17,131,Newcastle,0.8303347,Good,Good,0
ADAMSTOWN HEIGHTS,NSW17,141,Shortland,0.1696653,Good,Good,0
ADAMSVALE,WA2246,511,O'Connor,1,Good,Good,0
ADARE,QLD9,330,Wright,1,Good,Good,0
ADAVALE,QLD10,321,Maranoa,1,Good,Good,0
ADDINGTON,VIC8,202,Ballarat,1,Good,Good,0
ADELAIDE,SA2,401,Adelaide,1,Good,Good,0
ADELAIDE AIRPORT,SA3,405,Hindmarsh,1,Good,Good,0
ADELAIDE LEAD,VIC9,229,Mallee,1,Good,Good,0
ADELAIDE PARK,QLD11,305,Capricornia,1,Good,Good,0
ADELAIDE RIVER,NT2,701,Lingiari,1,Good,Good,0
ADELONG,NSW18,113,Eden-Monaro,1,Good,Good,0
ADJUNGBILLY,NSW19,139,Riverina,1,Good,Good,0
ADVANCETOWN,QLD12,330,Wright,1,Good,Good,0
ADVENTURE BAY,TAS7,604,Franklin,1,Good,Good,0
AEROGLEN,QLD13,318,Leichhardt,1,Good,Good,0
AFTERLEE,NSW20,133,Page,1,Good,Good,0
AGERY,SA4,404,Grey,1,Good,Good,0
AGNES,VIC10,234,Monash,1,Good,Good,0
AGNES BANKS,NSW21,123,Lindsay,0.5478728,Good,Good,0
AGNES BANKS,NSW21,127,Macquarie,0.4521272,Good,Good,0
AGNES WATER,QLD14,311,Flynn,1,Good,Good,0
AINSLIE,ACT104,802,Canberra,1,Good,Good,0
AINTREE,VIC3010,218,Gorton,1,Good,Good,0
AIRDMILLAN,QLD15,306,Dawson,1,Good,Good,0
AIRDS,NSW22,125,Macarthur,1,Good,Good,0
AIRE VALLEY,VIC11,209,Corangamite,1,Good,Good,0
AIREYS INLET,VIC12,209,Corangamite,1,Good,Good,0
AIRLIE BEACH,QLD16,306,Dawson,1,Good,Good,0
AIRLY,VIC13,216,Gippsland,1,Good,Good,0
AIRPORT WEST,VIC14,230,Maribyrnong,1,Good,Good,0
AIRVILLE,QLD17,306,Dawson,1,Good,Good,0
AITKENVALE,QLD18,315,Herbert,1,Good,Good,0
AJANA,WA1942,506,Durack,1,Good,Good,0
AKAROA,TAS8,605,Lyons,1,Good,Good,0
AKOLELE,NSW23,113,Eden-Monaro,1,Good,Good,0
ALABAMA HILL,QLD19,317,Kennedy,1,Good,Good,0
ALAWA,NT3,702,Solomon,1,Good,Good,0
ALAWOONA,SA5,402,Barker,1,Good,Good,0
ALBACUTYA,VIC15,229,Mallee,1,Good,Good,0
ALBANVALE,VIC16,218,Gorton,1,Good,Good,0
ALBANY,WA3012,511,O'Connor,1,Good,Good,0
ALBANY CREEK,QLD20,307,Dickson,1,Good,Good,0
ALBERT,NSW24,134,Parkes,1,Good,Good,0
ALBERT PARK,SA6,405,Hindmarsh,1,Good,Good,0
ALBERT PARK,VIC17,228,Macnamara,1,Good,Good,0
ALBERTA,QLD21,311,Flynn,1,Good,Good,0
ALBERTON,QLD22,308,Fadden,1,Good,Good,0
ALBERTON,SA7,405,Hindmarsh,1,Good,Good,0
ALBERTON,TAS9,601,Bass,1,Good,Good,0
ALBERTON,VIC18,216,Gippsland,1,Good,Good,0
ALBERTON WEST,VIC19,216,Gippsland,1,Good,Good,0
ALBINIA,QLD23,311,Flynn,1,Good,Good,0
ALBION,QLD24,304,Brisbane,1,Good,Good,0
ALBION,QLD25,317,Kennedy,1,Good,Good,0
ALBION,VIC20,214,Fraser,1,Good,Good,0
ALBION PARK,NSW25,147,Whitlam,1,Good,Good,0
ALBION PARK RAIL,NSW26,147,Whitlam,1,Good,Good,0
ALBURY,NSW27,114,Farrer,1,Good,Good,0
ALCOMIE,TAS10,602,Braddon,1,Good,Good,0
ALDAVILLA,NSW28,110,Cowper,1,Good,Good,0
ALDERLEY,QLD26,304,Brisbane,1,Good,Good,0
ALDERSHOT,QLD27,316,Hinkler,0.5059727,Good,Good,0
ALDERSHOT,QLD27,329,Wide Bay,0.4940273,Good,Good,0
ALDERSYDE,WA2239,511,O'Connor,1,Good,Good,0
ALDGATE,SA8,408,Mayo,1,Good,Good,0
ALDINGA,SA9,408,Mayo,1,Good,Good,0
ALDINGA BEACH,SA10,408,Mayo,1,Good,Good,0
ALDOGA,QLD28,311,Flynn,1,Good,Good,0
ALECTOWN,NSW29,139,Riverina,1,Good,Good,0
ALEXANDER HEIGHTS,WA3190,504,Cowan,1,Good,Good,0
ALEXANDRA,QLD29,305,Capricornia,1,Good,Good,0
ALEXANDRA,VIC21,222,Indi,1,Good,Good,0
ALEXANDRA BRIDGE,WA3028,507,Forrest,1,Good,Good,0
ALEXANDRA HEADLAND,QLD30,309,Fairfax,0,Good,Good,1
ALEXANDRA HEADLAND,QLD30,310,Fisher,1,Good,Good,0
ALEXANDRA HILLS,QLD31,303,Bowman,1,Good,Good,0
ALEXANDRIA,NSW30,142,Sydney,1,Good,Good,0
ALFORD,SA11,404,Grey,1,Good,Good,0
ALFORDS POINT,NSW31,119,Hughes,1,Good,Good,0
ALFRED COVE,WA3309,516,Tangney,1,Good,Good,0
ALFREDTON,VIC22,202,Ballarat,1,Good,Good,0
ALFREDTOWN,NSW32,139,Riverina,1,Good,Good,0
ALGESTER,QLD32,327,Rankin,1,Good,Good,0
ALI CURUNG,NT4,701,Lingiari,1,Good,Good,0
ALICE,NSW33,133,Page,1,Good,Good,0
ALICE CREEK,QLD33,321,Maranoa,1,Good,Good,0
ALICE RIVER,QLD34,315,Herbert,0.1138985,Good,Good,0
ALICE RIVER,QLD34,317,Kennedy,0.8861015,Good,Good,0
ALICE SPRINGS,NT5,701,Lingiari,1,Good,Good,0
ALISON,NSW34,124,Lyne,1,Good,Good,0
ALISON,NSW35,112,Dobell,1,Good,Good,0
ALKIMOS,WA2875,512,Pearce,1,Good,Good,0
ALLAMBEE,VIC23,234,Monash,1,Good,Good,0
ALLAMBEE RESERVE,VIC24,234,Monash,1,Good,Good,0
ALLAMBEE SOUTH,VIC25,234,Monash,1,Good,Good,0
ALLAMBIE HEIGHTS,NSW36,143,Warringah,1,Acceptable,Good,0
ALLAN,QLD35,321,Maranoa,1,Good,Good,0
ALLANDALE,NSW37,136,Paterson,1,Good,Good,0
ALLANDALE,QLD36,330,Wright,1,Good,Good,0
ALLANDALE STATION,SA210006195,404,Grey,1,Good,Good,0
ALLANOOKA,WA1937,506,Durack,1,Good,Good,0
ALLANS FLAT,VIC26,222,Indi,1,Good,Good,0
ALLANSFORD,VIC27,237,Wannon,1,Good,Good,0
ALLANSON,WA2573,511,O'Connor,1,Good,Good,0
ALLAWAH,NSW38,101,Banks,1,Acceptable,Good,0
ALLEENA,NSW39,139,Riverina,1,Good,Good,0
ALLENBY GARDENS,SA12,401,Adelaide,1,Good,Good,0
ALLENDALE,VIC28,202,Ballarat,1,Good,Good,0
ALLENDALE EAST,SA13,402,Barker,1,Good,Good,0
ALLENDALE NORTH,SA14,402,Barker,1,Good,Good,0
ALLENS RIVULET,TAS11,604,Franklin,1,Good,Good,0
ALLENSTOWN,QLD37,305,Capricornia,1,Good,Good,0
ALLENVIEW,QLD38,330,Wright,1,Good,Good,0
ALLESTREE,VIC29,237,Wannon,1,Good,Good,0
ALLGOMERA,NSW40,110,Cowper,1,Good,Good,0
ALLIGATOR CREEK,QLD39,305,Capricornia,1,Good,Good,0
ALLIGATOR CREEK,QLD40,306,Dawson,0.28,Good,Good,0
ALLIGATOR CREEK,QLD40,317,Kennedy,0.72,Good,Good,0
ALLORA,QLD41,321,Maranoa,1,Good,Good,0
ALLOWAY,QLD42,316,Hinkler,1,Good,Good,0
ALLWORTH,NSW41,124,Lyne,1,Good,Good,0
ALLYNBROOK,NSW42,124,Lyne,1,Good,Good,0
ALMA,SA15,404,Grey,1,Good,Good,0
ALMA,VIC30,229,Mallee,1,Good,Good,0
ALMA,WA1941,506,Durack,1,Good,Good,0
ALMA PARK,NSW43,114,Farrer,1,Good,Good,0
ALMADEN,QLD43,317,Kennedy,1,Good,Good,0
ALMONDS,VIC31,235,Nicholls,1,Good,Good,0
ALMURTA,VIC32,234,Monash,1,Good,Good,0
ALONNAH,TAS12,604,Franklin,1,Good,Good,0
ALOOMBA,QLD44,317,Kennedy,1,Good,Good,0
ALPANA,SA210006052,404,Grey,1,Good,Good,0
ALPHA,QLD45,321,Maranoa,1,Good,Good,0
ALPHINGTON,VIC33,208,Cooper,1,Good,Good,0
ALPINE,NSW44,120,Hume,1,Good,Good,0
ALPURRURULAM,NT6,701,Lingiari,1,Good,Good,0
ALSACE,QLD46,311,Flynn,1,Good,Good,0
ALSTONVALE,NSW45,133,Page,1,Good,Good,0
ALSTONVILLE,NSW46,133,Page,0.9493464,Good,Good,0
ALSTONVILLE,NSW46,138,Richmond,0.0506536,Good,Good,0
ALTON DOWNS,QLD47,311,Flynn,1,Good,Good,0
ALTON DOWNS STATION,SA210006134,404,Grey,1,Good,Good,0
ALTONA,SA16,402,Barker,1,Good,Good,0
ALTONA,VIC34,215,Gellibrand,1,Acceptable,Good,0
ALTONA MEADOWS,VIC35,215,Gellibrand,1,Acceptable,Good,0
ALTONA NORTH,VIC36,215,Gellibrand,1,Acceptable,Good,0
ALUMY CREEK,NSW47,133,Page,1,Good,Good,0
ALVA,QLD48,306,Dawson,1,Good,Good,0
ALVIE,VIC37,237,Wannon,1,Good,Good,0
ALYANGULA,NT7,701,Lingiari,1,Good,Good,0
AMAMOOR,QLD49,329,Wide Bay,1,Good,Good,0
AMAMOOR CREEK,QLD50,329,Wide Bay,1,Good,Good,0
AMAROO,ACT707,803,Fenner,1,Good,Good,0
AMAROO,NSW48,107,Calare,1,Good,Good,0
AMAROO,QLD52,317,Kennedy,0.9999995,Good,Good,0
AMAROO,QLD52,321,Maranoa,5e-07,Good,Good,1
AMATA,SA210006277,404,Grey,1,Good,Good,0
AMBANIA,WA1943,506,Durack,1,Good,Good,0
AMBARVALE,NSW49,125,Macarthur,1,Good,Good,0
AMBER,QLD53,317,Kennedy,1,Good,Good,0
AMBERGATE,WA2795,507,Forrest,1,Good,Good,0
AMBERLEY,QLD54,301,Blair,1,Good,Good,0
AMBLESIDE,TAS13,602,Braddon,1,Good,Good,0
AMBROSE,QLD55,311,Flynn,1,Good,Good,0
AMBY,QLD56,321,Maranoa,1,Good,Good,0
AMELUP,WA1879,511,O'Connor,1,Good,Good,0
AMERICAN BEACH,SA17,408,Mayo,1,Good,Good,0
AMERICAN RIVER,SA18,408,Mayo,1,Good,Good,0
AMHERST,VIC38,229,Mallee,1,Good,Good,0
AMIENS,QLD57,321,Maranoa,1,Good,Good,0
AMITY,QLD58,303,Bowman,1,Good,Good,0
AMOONGUNA,NT8,701,Lingiari,1,Good,Good,0
AMOR,VIC39,234,Monash,1,Good,Good,0
AMOSFIELD,NSW5031,130,New England,1,Good,Good,0
AMPHITHEATRE,VIC40,229,Mallee,1,Good,Good,0
AMPILATWATJA,NT9,701,Lingiari,1,Good,Good,0
AMYTON,SA19,404,Grey,1,Good,Good,0
ANABRANCH NORTH,NSW5049,114,Farrer,1,Good,Good,0
ANABRANCH SOUTH,NSW5048,114,Farrer,1,Good,Good,0
ANAKIE,VIC41,209,Corangamite,0.0915915,Good,Good,0
ANAKIE,VIC41,210,Corio,0.9084085,Good,Good,0
ANAMA,SA20,404,Grey,1,Good,Good,0
ANAMBAH,NSW51,136,Paterson,1,Good,Good,0
ANANGU PITJANTJATJARA YANKUNYTJATJARA,SA210006281,404,Grey,1,Good,Good,0
ANATYE,NT10,701,Lingiari,1,Good,Good,0
ANCONA,VIC42,222,Indi,1,Good,Good,0
ANDAMOOKA,SA21,404,Grey,1,Good,Good,0
ANDAMOOKA STATION,SA210006097,404,Grey,1,Good,Good,0
ANDERGROVE,QLD59,306,Dawson,1,Good,Good,0
ANDERLEIGH,QLD60,329,Wide Bay,1,Good,Good,0
ANDERSON,VIC43,234,Monash,1,Good,Good,0
ANDO,NSW52,113,Eden-Monaro,1,Good,Good,0
ANDOVER,TAS14,605,Lyons,1,Good,Good,0
ANDREWS,SA22,404,Grey,1,Good,Good,0
ANDREWS FARM,SA23,409,Spence,1,Good,Good,0
ANDROMACHE,QLD61,306,Dawson,1,Good,Good,0
ANDURAMBA,QLD62,321,Maranoa,1,Good,Good,0
ANEMBO,NSW53,113,Eden-Monaro,1,Good,Good,0
ANGAS PLAINS,SA24,408,Mayo,1,Good,Good,0
ANGAS VALLEY,SA25,402,Barker,1,Good,Good,0
ANGASTON,SA26,402,Barker,1,Good,Good,0
ANGELO RIVER,WA1745,506,Durack,1,Good,Good,0
ANGEPENA,SA210006171,404,Grey,1,Good,Good,0
ANGLE PARK,SA27,401,Adelaide,1,Good,Good,0
ANGLE VALE,SA28,409,Spence,1,Good,Good,0
ANGLEDALE,NSW55,113,Eden-Monaro,1,Good,Good,0
ANGLEDOOL,NSW56,134,Parkes,1,Good,Good,0
ANGLERS REACH,NSW57,113,Eden-Monaro,1,Good,Good,0
ANGLERS REST,VIC44,216,Gippsland,1,Good,Good,0
ANGLESEA,VIC45,209,Corangamite,1,Good,Good,0
ANGORIGINA,SA210006245,404,Grey,1,Good,Good,0
ANGOURIE,NSW58,133,Page,1,Good,Good,0
ANGURUGU,NT11,701,Lingiari,1,Good,Good,0
ANINDILYAKWA,NT12,701,Lingiari,0.9999996,Good,Good,0
ANINDILYAKWA,NT12,,,4e-07,NA,Good,4
ANKETELL,WA3083,501,Brand,1,Good,Good,0
ANMATJERE,NT13,701,Lingiari,1,Good,Good,0
ANNA BAY,NSW59,136,Paterson,1,Good,Good,0
ANNA CREEK,SA210006138,404,Grey,1,Good,Good,0
ANNADALE,SA29,402,Barker,1,Good,Good,0
ANNANDALE,NSW60,117,Grayndler,0.9956577,Acceptable,Good,0
ANNANDALE,NSW60,142,Sydney,0.0043423,Good,Good,1
ANNANDALE,QLD63,306,Dawson,1,Good,Good,0
ANNANDALE,QLD63,315,Herbert,0,Good,Good,1
ANNANGROVE,NSW61,104,Berowra,1,Acceptable,Good,0
ANNERLEY,QLD64,324,Moreton,1,Good,Good,0
ANNIEBROOK,WA2790,507,Forrest,1,Good,Good,0
ANNUELLO,VIC46,229,Mallee,1,Good,Good,0
ANSONS BAY,TAS15,605,Lyons,1,Good,Good,0
ANSTEAD,QLD65,328,Ryan,1,Good,Good,0
ANTECHAMBER BAY,SA30,408,Mayo,1,Good,Good,0
ANTHONY,QLD66,330,Wright,1,Good,Good,0
ANTIGUA,QLD67,329,Wide Bay,1,Good,Good,0
ANTILL PONDS,TAS16,605,Lyons,1,Good,Good,0
ANTONYMYRE,WA2761,506,Durack,1,Good,Good,0
ANTWERP,VIC47,229,Mallee,1,Good,Good,0
ANULA,NT14,702,Solomon,1,Good,Good,0
APAMURRA,SA31,402,Barker,1,Good,Good,0
APOINGA,SA32,404,Grey,1,Good,Good,0
APOLLO BAY,TAS17,604,Franklin,1,Good,Good,0
APOLLO BAY,VIC48,209,Corangamite,1,Good,Good,0
APPILA,SA33,404,Grey,1,Good,Good,0
APPIN,NSW62,120,Hume,1,Good,Good,0
APPIN,VIC49,229,Mallee,1,Good,Good,0
APPIN SOUTH,VIC50,229,Mallee,1,Good,Good,0
APPLE TREE CREEK,QLD68,316,Hinkler,1,Good,Good,0
APPLE TREE FLAT,NSW63,107,Calare,1,Good,Good,0
APPLEBY,NSW64,130,New England,1,Good,Good,0
APPLECROSS,WA3111,516,Tangney,1,Good,Good,0
APPLETHORPE,QLD69,321,Maranoa,1,Good,Good,0
APPLETREE FLAT,NSW65,121,Hunter,1,Good,Good,0
APSLAWN,TAS18,605,Lyons,1,Good,Good,0
APSLEY,NSW66,107,Calare,1,Good,Good,0
APSLEY,TAS19,605,Lyons,1,Good,Good,0
APSLEY,VIC51,229,Mallee,1,Good,Good,0
ARABLE,NSW67,113,Eden-Monaro,1,Good,Good,0
ARAFURA SEA,QLD70,318,Leichhardt,1,Good,Good,0
ARAKOON,NSW68,110,Cowper,1,Good,Good,0
ARALUEN,NSW69,113,Eden-Monaro,1,Good,Good,0
ARALUEN,NT15,701,Lingiari,1,Good,Good,0
ARALUEN,QLD71,329,Wide Bay,1,Good,Good,0
ARAMAC,QLD72,321,Maranoa,1,Good,Good,0
ARAMARA,QLD73,329,Wide Bay,1,Good,Good,0
ARANA HILLS,QLD74,307,Dickson,1,Good,Good,0
ARANBANGA,QLD75,311,Flynn,1,Good,Good,0
ARANDA,ACT556,802,Canberra,1,Good,Good,0
ARAPILES,VIC52,229,Mallee,1,Good,Good,0
ARARAT,VIC53,237,Wannon,1,Good,Good,0
ARATULA,NSW70,114,Farrer,1,Good,Good,0
ARATULA,QLD76,330,Wright,1,Good,Good,0
ARAWATA,VIC54,234,Monash,1,Good,Good,0
ARBOUIN,QLD77,317,Kennedy,1,Good,Good,0
ARBUCKLE,VIC55,216,Gippsland,1,Good,Good,0
ARCADIA,NSW71,104,Berowra,1,Acceptable,Good,0
ARCADIA,QLD78,315,Herbert,1,Good,Good,0
ARCADIA,VIC56,235,Nicholls,1,Good,Good,0
ARCADIA SOUTH,VIC57,235,Nicholls,1,Good,Good,0
ARCADIA VALE,NSW72,121,Hunter,1,Good,Good,0
ARCADIA VALLEY,QLD79,311,Flynn,1,Good,Good,0
ARCHDALE,VIC58,229,Mallee,1,Good,Good,0
ARCHDALE JUNCTION,VIC59,229,Mallee,1,Good,Good,0
ARCHER,NT16,702,Solomon,1,Good,Good,0
ARCHER RIVER,QLD80,318,Leichhardt,1,Good,Good,0
ARCHERFIELD,QLD81,324,Moreton,1,Good,Good,0
ARCHERTON,VIC60,222,Indi,1,Good,Good,0
ARCHIES CREEK,VIC61,234,Monash,1,Good,Good,0
ARCKARINGA,SA210006139,404,Grey,1,Good,Good,0
ARCOONA,SA210006085,404,Grey,1,Good,Good,0
ARCTURUS,QLD82,311,Flynn,1,Good,Good,0
ARDATH,WA1910,506,Durack,1,Good,Good,0
ARDEER,VIC62,214,Fraser,1,Good,Good,0
ARDGLEN,NSW73,130,New England,1,Good,Good,0
ARDING,NSW74,130,New England,1,Good,Good,0
ARDLETHAN,NSW75,114,Farrer,0.0669216,Good,Good,0
ARDLETHAN,NSW75,139,Riverina,0.9330784,Good,Good,0
ARDMONA,VIC63,235,Nicholls,1,Good,Good,0
ARDROSS,WA3109,516,Tangney,1,Good,Good,0
ARDROSSAN,SA34,404,Grey,1,Good,Good,0
AREEGRA,VIC64,229,Mallee,1,Good,Good,0
AREYONGA,NT17,701,Lingiari,1,Good,Good,0
ARGALONG,NSW76,113,Eden-Monaro,1,Good,Good,0
ARGENTON,NSW77,121,Hunter,1,Good,Good,0
ARGENTS HILL,NSW78,110,Cowper,1,Good,Good,0
ARGOON,NSW79,114,Farrer,1,Good,Good,0
ARGYLE,VIC65,203,Bendigo,1,Good,Good,0
ARGYLE,WA2809,507,Forrest,1,Good,Good,0
ARGYLL,QLD84,311,Flynn,1,Good,Good,0
ARIAH PARK,NSW81,139,Riverina,1,Good,Good,0
ARKAROOLA,SA210006129,404,Grey,1,Good,Good,0
ARKAROOLA VILLAGE,SA1627,404,Grey,1,Good,Good,0
ARKELL,NSW82,107,Calare,1,Good,Good,0
ARKSTONE,NSW83,107,Calare,1,Good,Good,0
ARMADALE,VIC66,219,Higgins,1,Good,Good,0
ARMADALE,WA3220,502,Burt,1,Good,Good,0
ARMADALE,WA3220,503,Canning,0,Good,Good,1
ARMAGH,SA36,404,Grey,1,Good,Good,0
ARMATREE,NSW84,134,Parkes,1,Good,Good,0
ARMIDALE,NSW85,130,New England,1,Good,Good,0
ARMSTRONG,VIC67,237,Wannon,1,Good,Good,0
ARMSTRONG BEACH,QLD85,305,Capricornia,1,Good,Good,0
ARMSTRONG CREEK,QLD86,307,Dickson,1,Good,Good,0
ARMSTRONG CREEK,VIC3002,209,Corangamite,1,Good,Good,0
ARNCLIFFE,NSW86,102,Barton,1,Acceptable,Good,0
ARNDELL PARK,NSW87,108,Chifley,1,Acceptable,Good,0
ARNO BAY,SA37,404,Grey,1,Good,Good,0
ARNOLD,NT18,701,Lingiari,1,Good,Good,0
ARNOLD,VIC68,229,Mallee,1,Good,Good,0
ARNOLD WEST,VIC69,229,Mallee,1,Good,Good,0
AROONA,QLD87,310,Fisher,1,Good,Good,0
ARRAWARRA,NSW88,133,Page,1,Good,Good,0
ARRAWARRA HEADLAND,NSW89,133,Page,1,Good,Good,0
ARRIGA,QLD88,317,Kennedy,1,Good,Good,0
ARRINO,WA1935,506,Durack,1,Good,Good,0
ARROWSMITH,WA1934,506,Durack,1,Good,Good,0
ARROWSMITH EAST,WA2356,506,Durack,1,Good,Good,0
ARTARMON,NSW90,132,North Sydney,1,Good,Good,0
ARTHUR RIVER,TAS20,602,Braddon,1,Good,Good,0
ARTHUR RIVER,WA1874,511,O'Connor,1,Good,Good,0
ARTHURS CREEK,VIC70,231,McEwen,1,Good,Good,0
ARTHURS LAKE,TAS21,605,Lyons,1,Good,Good,0
ARTHURS SEAT,VIC71,213,Flinders,1,Good,Good,0
ARTHURTON,SA38,404,Grey,1,Good,Good,0
ARTHURVILLE,NSW91,107,Calare,1,Good,Good,0
ARUMBERA,NT19,701,Lingiari,1,Good,Good,0
ARUMPO,NSW92,114,Farrer,1,Good,Good,0
ARUNDEL,QLD89,308,Fadden,1,Good,Good,0
ASCOT,QLD90,314,Groom,1,Good,Good,0
ASCOT,QLD91,304,Brisbane,1,Good,Good,0
ASCOT,QLD91,319,Lilley,0,Good,Good,1
ASCOT,VIC2973,202,Ballarat,1,Good,Good,0
ASCOT,VIC2974,203,Bendigo,1,Good,Good,0
ASCOT,WA3161,515,Swan,1,Good,Good,0
ASCOT PARK,SA39,403,Boothby,1,Good,Good,0
ASCOT VALE,VIC74,230,Maribyrnong,1,Good,Good,0
ASHBOURNE,SA40,408,Mayo,1,Good,Good,0
ASHBOURNE,VIC75,203,Bendigo,1,Good,Good,0
ASHBURTON,VIC76,219,Higgins,1,Good,Good,0
ASHBURY,NSW93,144,Watson,1,Acceptable,Good,0
ASHBY,NSW94,133,Page,1,Good,Good,0
ASHBY,WA3353,504,Cowan,1,Good,Good,0
ASHBY HEIGHTS,NSW95,133,Page,1,Good,Good,0
ASHBY ISLAND,NSW96,133,Page,1,Good,Good,0
ASHCROFT,NSW97,146,Werriwa,1,Good,Good,0
ASHENDON,WA2213,503,Canning,1,Good,Good,0
ASHFIELD,NSW98,117,Grayndler,0.5813391,Acceptable,Good,0
ASHFIELD,NSW98,137,Reid,0.0565273,Good,Good,0
ASHFIELD,NSW98,144,Watson,0.3621336,Acceptable,Good,0
ASHFIELD,QLD92,316,Hinkler,1,Good,Good,0
ASHFIELD,WA3337,513,Perth,1,Good,Good,0
ASHFORD,NSW99,130,New England,1,Good,Good,0
ASHFORD,SA41,401,Adelaide,1,Good,Good,0
ASHGROVE,QLD93,304,Brisbane,0.7447457,Good,Good,0
ASHGROVE,QLD93,328,Ryan,0.2552543,Good,Good,0
ASHLEY,NSW100,134,Parkes,1,Good,Good,0
ASHMONT,NSW101,139,Riverina,1,Good,Good,0
ASHMORE,QLD94,323,Moncrieff,1,Good,Good,0
ASHTON,SA42,408,Mayo,1,Good,Good,0
ASHTONFIELD,NSW102,136,Paterson,1,Good,Good,0
ASHVILLE,SA43,402,Barker,1,Good,Good,0
ASHWELL,QLD95,301,Blair,1,Good,Good,0
ASHWOOD,VIC77,207,Chisholm,1,Acceptable,Good,0
ASPENDALE,VIC78,223,Isaacs,1,Acceptable,Good,0
ASPENDALE GARDENS,VIC79,223,Isaacs,1,Acceptable,Good,0
ASPLEY,QLD96,319,Lilley,0.7654723,Good,Good,0
ASPLEY,QLD96,326,Petrie,0.2345277,Good,Good,0
ASQUITH,NSW103,104,Berowra,0.3727541,Acceptable,Good,0
ASQUITH,NSW103,106,Bradfield,0.6272459,Good,Good,0
ATHELSTONE,SA44,410,Sturt,1,Good,Good,0
ATHERTON,QLD97,317,Kennedy,1,Good,Good,0
ATHLONE,VIC80,234,Monash,1,Good,Good,0
ATHOL,QLD98,314,Groom,1,Good,Good,0
ATHOL PARK,SA45,405,Hindmarsh,1,Good,Good,0
ATHOLWOOD,NSW104,130,New England,1,Good,Good,0
ATITJERE,NT20,701,Lingiari,1,Good,Good,0
ATKINSONS DAM,QLD99,301,Blair,1,Good,Good,0
ATTADALE,WA3105,516,Tangney,1,Good,Good,0
ATTUNGA,NSW105,130,New England,1,Good,Good,0
