SA2_MAINCODE_2016,SA2_NAME_2016,SA2_CODE_2021,SA2_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
116031318,Prospect Reservoir,116031318,Prospect Reservoir,1,Good,Good,0
116031319,Rooty Hill - Minchinbury,116031319,Rooty Hill - Minchinbury,1,Good,Good,0
117011320,Banksmeadow,117011320,Banksmeadow,1,Good,Good,0
117011321,Botany,117011321,Botany,1,Good,Good,0
117011322,Mascot - Eastlakes,117011634,Eastlakes,0.4008494,Poor,Good,0
117011322,Mascot - Eastlakes,117011635,Mascot,0.5991506,Poor,Good,0
117011323,Pagewood - Hillsdale - Daceyville,117011323,Pagewood - Hillsdale - Daceyville,1,Good,Good,0
117011324,Port Botany Industrial,117011324,Port Botany Industrial,1,Good,Good,0
117011325,Sydney Airport,117011325,Sydney Airport,1,Good,Good,0
117021326,Marrickville,117021636,Marrickville - North,0.4439296,Poor,Good,0
117021326,Marrickville,117021637,Marrickville - South,0.5560704,Poor,Good,0
117021327,Petersham - Stanmore,117021327,Petersham - Stanmore,1,Good,Good,0
117021328,Sydenham - Tempe - St Peters,117021328,Sydenham - Tempe - St Peters,1,Good,Good,0
117031329,Darlinghurst,117031329,Darlinghurst,1,Good,Good,0
117031330,Erskineville - Alexandria,117031330,Erskineville - Alexandria,1,Good,Good,0
117031331,Glebe - Forest Lodge,117031331,Glebe - Forest Lodge,1,Good,Good,0
117031332,Newtown - Camperdown - Darlington,117031638,Camperdown - Darlington,0.3979693,Poor,Good,0
117031332,Newtown - Camperdown - Darlington,117031640,Newtown (NSW),0.6020307,Poor,Good,0
117031333,Potts Point - Woolloomooloo,117031333,Potts Point - Woolloomooloo,1,Good,Good,0
117031334,Pyrmont - Ultimo,117031641,Pyrmont,0.5951357,Poor,Good,0
117031334,Pyrmont - Ultimo,117031646,Ultimo,0.4048643,Poor,Good,0
117031335,Redfern - Chippendale,117031639,Chippendale,0.3738271,Poor,Good,0
117031335,Redfern - Chippendale,117031642,Redfern,0.6261729,Poor,Good,0
117031336,Surry Hills,117031336,Surry Hills,1,Good,Good,0
117031337,Sydney - Haymarket - The Rocks,117031644,Sydney (North) - Millers Point,0.2798611,Poor,Good,0
117031337,Sydney - Haymarket - The Rocks,117031645,Sydney (South) - Haymarket,0.7201389,Poor,Good,0
117031338,Waterloo - Beaconsfield,117031643,Rosebery - Beaconsfield,0.2535504,Poor,Good,0
117031338,Waterloo - Beaconsfield,117031647,Waterloo,0.4451852,Poor,Good,0
117031338,Waterloo - Beaconsfield,117031648,Zetland,0.3012644,Poor,Good,0
118011339,Bondi - Tamarama - Bronte,118011339,Bondi - Tamarama - Bronte,1,Good,Good,0
118011340,Bondi Beach - North Bondi,118011340,Bondi Beach - North Bondi,1,Good,Good,0
118011341,Bondi Junction - Waverly,118011341,Bondi Junction - Waverly,1,Good,Good,0
118011342,Centennial Park,118011342,Centennial Park,1,Good,Good,0
118011343,Double Bay - Bellevue Hill,118011649,Bellevue Hill,0.5869197,Poor,Good,0
118011343,Double Bay - Bellevue Hill,118011650,Double Bay - Darling Point,0.4130803,Poor,Good,0
118011344,Dover Heights,118011344,Dover Heights,1,Good,Good,0
118011345,Paddington - Moore Park,118011345,Paddington - Moore Park,1,Good,Good,0
118011346,Rose Bay - Vaucluse - Watsons Bay,118011346,Rose Bay - Vaucluse - Watsons Bay,1,Good,Good,0
118011347,Woollahra,118011347,Woollahra,1,Good,Good,0
118021348,Coogee - Clovelly,118021651,Coogee - Clovelly,0.7836822,Acceptable,Good,0
118021348,Coogee - Clovelly,118021654,South Coogee,0.2163178,Poor,Good,0
118021350,Malabar - La Perouse - Chifley,118021652,Malabar - La Perouse,0.4565794,Poor,Good,0
118021350,Malabar - La Perouse - Chifley,118021653,Matraville - Chifley,0.5434206,Poor,Good,0
118021564,Kensington (NSW),118021564,Kensington (NSW),1,Good,Good,0
118021565,Kingsford,118021565,Kingsford,1,Good,Good,0
118021566,Maroubra - North,118021566,Maroubra - North,1,Good,Good,0
118021567,Maroubra - South,118021567,Maroubra - South,1,Good,Good,0
118021568,Maroubra - West,118021568,Maroubra - West,1,Good,Good,0
118021569,Randwick - North,118021569,Randwick - North,1,Good,Good,0
118021570,Randwick - South,118021570,Randwick - South,1,Good,Good,0
119011354,Bass Hill - Georges Hall,119011354,Bass Hill - Georges Hall,1,Good,Good,0
119011355,Chullora,119011355,Chullora,1,Good,Good,0
119011356,Condell Park,119011356,Condell Park,1,Good,Good,0
119011357,Greenacre - Mount Lewis,119011655,Greenacre - North,0.528426,Poor,Good,0
119011357,Greenacre - Mount Lewis,119011656,Greenacre - South,0.471574,Poor,Good,0
119011358,Padstow,119011358,Padstow,1,Good,Good,0
119011359,Panania - Milperra - Picnic Point,119011657,Panania (North) - Milperra,0.4105695,Poor,Good,0
119011359,Panania - Milperra - Picnic Point,119011658,Panania (South) - Picnic Point,0.5894305,Poor,Good,0
119011360,Revesby,119011360,Revesby,1,Good,Good,0
119011361,Yagoona - Birrong,119011361,Yagoona - Birrong,1,Good,Good,0
119011571,Bankstown - North,119011571,Bankstown - North,1,Good,Good,0
119011572,Bankstown - South,119011572,Bankstown - South,1,Good,Good,0
119021362,Belmore - Belfield,119021362,Belmore - Belfield,1,Good,Good,0
119021363,Canterbury (South) - Campsie,119021659,Campsie - North,0.4007006,Poor,Good,0
119021363,Canterbury (South) - Campsie,119021660,Campsie - South,0.293065,Poor,Good,0
119021363,Canterbury (South) - Campsie,119021661,Canterbury - South,0.3062343,Poor,Good,0
119021364,Kingsgrove (North) - Earlwood,119021662,Earlwood,0.7447701,Poor,Good,0
119021364,Kingsgrove (North) - Earlwood,119021663,Kingsgrove - North,0.2552299,Poor,Good,0
119021366,Punchbowl,119021366,Punchbowl,1,Good,Good,0
119021367,Roselands,119021367,Roselands,1,Good,Good,0
119021573,Lakemba,119021573,Lakemba,1,Good,Good,0
119021574,Wiley Park,119021574,Wiley Park,1,Good,Good,0
119031368,Hurstville,119031664,Hurstville - Central,0.4654897,Poor,Good,0
119031368,Hurstville,119031665,Hurstville - North,0.5345103,Poor,Good,0
119031369,Mortdale - Penshurst,119031666,Mortdale - Oatley,0.5944027,Poor,Good,0
119031369,Mortdale - Penshurst,119031667,Penshurst,0.4055973,Poor,Good,0
119031370,Narwee - Beverly Hills,119031370,Narwee - Beverly Hills,1,Good,Good,0
119031371,Oatley - Hurstville Grove,119031371,Oatley - Hurstville Grove,1,Good,Good,0
119031372,Peakhurst - Lugarno,119031372,Peakhurst - Lugarno,1,Good,Good,0
119031373,Riverwood,119031372,Peakhurst - Lugarno,0.0155939,Good,Good,0
119031373,Riverwood,119031373,Riverwood,0.9844061,Good,Good,0
119031374,South Hurstville - Blakehurst,119031374,South Hurstville - Blakehurst,1,Good,Good,0
119041375,Arncliffe - Bardwell Valley,119041668,Arncliffe - Bardwell Valley,0.7040622,Poor,Good,0
119041375,Arncliffe - Bardwell Valley,119041671,Wolli Creek,0.2959378,Poor,Good,0
119041376,Bexley,119041669,Bexley - North,0.3739827,Poor,Good,0
119041376,Bexley,119041670,Bexley - South,0.6260173,Poor,Good,0
119041377,Kingsgrove (South) - Bardwell Park,119041377,Kingsgrove (South) - Bardwell Park,1,Good,Good,0
119041378,Kogarah,119041378,Kogarah,1,Good,Good,0
119041379,Kogarah Bay - Carlton - Allawah,119041379,Kogarah Bay - Carlton - Allawah,1,Good,Good,0
119041380,Monterey - Brighton-le-Sands - Kyeemagh,119041380,Monterey - Brighton-le-Sands - Kyeemagh,1,Good,Good,0
119041381,Rockdale - Banksia,119041381,Rockdale - Banksia,1,Good,Good,0
119041382,Sans Souci - Ramsgate,119041382,Sans Souci - Ramsgate,1,Good,Good,0
120011383,Concord - Mortlake - Cabarita,120011383,Concord - Mortlake - Cabarita,1,Good,Good,0
120011384,Concord West - North Strathfield,120011672,Concord West - North Strathfield,0.5057513,Poor,Good,0
120011384,Concord West - North Strathfield,120011673,Rhodes,0.4942487,Poor,Good,0
120011385,Drummoyne - Rodd Point,120011385,Drummoyne - Rodd Point,1,Good,Good,0
120011386,Five Dock - Abbotsford,120011386,Five Dock - Abbotsford,1,Good,Good,0
120021387,Balmain,120021387,Balmain,1,Good,Good,0
120021388,Leichhardt - Annandale,120021674,Annandale (NSW),0.3557375,Poor,Good,0
120021388,Leichhardt - Annandale,120021675,Leichhardt,0.6442625,Poor,Good,0
120021389,Lilyfield - Rozelle,120021389,Lilyfield - Rozelle,1,Good,Good,0
120031390,Ashfield,120031676,Ashfield - North,0.5325969,Poor,Good,0
120031390,Ashfield,120031677,Ashfield - South,0.4674031,Poor,Good,0
120031391,Burwood - Croydon,120031678,Burwood (NSW),0.5493864,Poor,Good,0
120031391,Burwood - Croydon,120031679,Croydon,0.4506136,Poor,Good,0
120031392,Canterbury (North) - Ashbury,120031392,Canterbury (North) - Ashbury,1,Good,Good,0
120031393,Croydon Park - Enfield,120031393,Croydon Park - Enfield,1,Good,Good,0
120031394,Dulwich Hill - Lewisham,120031394,Dulwich Hill - Lewisham,1,Good,Good,0
120031395,Haberfield - Summer Hill,120031395,Haberfield - Summer Hill,1,Good,Good,0
120031396,Homebush,120031396,Homebush,1,Good,Good,0
120031575,Strathfield,120031680,Strathfield - East,0.6647257,Poor,Good,0
120031575,Strathfield,120031681,Strathfield - West,0.3352743,Poor,Good,0
120031576,Strathfield South,120031576,Strathfield South,1,Good,Good,0
121011398,Chatswood (East) - Artarmon,121011682,Artarmon,0.3320511,Poor,Good,0
121011398,Chatswood (East) - Artarmon,121011684,Chatswood - East,0.6679489,Poor,Good,0
121011399,Chatswood (West) - Lane Cove North,121011399,Chatswood (West) - Lane Cove North,1,Good,Good,0
121011400,Lane Cove - Greenwich,121011685,Greenwich - Riverview,0.485053,Poor,Good,0
121011400,Lane Cove - Greenwich,121011686,Lane Cove,0.514947,Poor,Good,0
121011401,St Leonards - Naremburn,121011401,St Leonards - Naremburn,1,Good,Good,0
121011402,Willoughby - Castle Cove - Northbridge,121011683,Castle Cove - Northbridge,0.5165186,Poor,Good,0
121011402,Willoughby - Castle Cove - Northbridge,121011687,Willoughby,0.4834814,Poor,Good,0
121021403,Asquith - Mount Colah,121021403,Asquith - Mount Colah,1,Good,Good,0
121021404,Berowra - Brooklyn - Cowan,121021404,Berowra - Brooklyn - Cowan,1,Good,Good,0
121021406,Normanhurst - Thornleigh - Westleigh,121021406,Normanhurst - Thornleigh - Westleigh,1,Good,Good,0
121021577,Hornsby - East,121021577,Hornsby - East,1,Good,Good,0
121021578,Hornsby - West,121021403,Asquith - Mount Colah,0.0009536,Good,Good,1
121021578,Hornsby - West,121021578,Hornsby - West,0.9990464,Good,Good,0
121021579,Waitara - Wahroonga (West),121021579,Wahroonga (West) - Waitara,1,Good,Good,0
121031407,Gordon - Killara,121031407,Gordon - Killara,1,Good,Good,0
121031408,Lindfield - Roseville,121031408,Lindfield - Roseville,1,Good,Good,0
121031409,Pymble,121031409,Pymble,1,Good,Good,0
121031410,St Ives,121031410,St Ives,1,Good,Good,0
121031411,Turramurra,121031411,Turramurra,1,Good,Good,0
121031412,Wahroonga (East) - Warrawee,121031412,Wahroonga (East) - Warrawee,1,Good,Good,0
121041413,Cremorne - Cammeray,121041413,Cremorne - Cammeray,0.9977561,Good,Good,0
121041413,Cremorne - Cammeray,121041416,Neutral Bay - Kirribilli,0.0022439,Good,Good,1
121041414,Crows Nest - Waverton,121041414,Crows Nest - Waverton,1,Good,Good,0
121041415,Mosman,121041688,Mosman - North,0.4884647,Poor,Good,0
121041415,Mosman,121041689,Mosman - South,0.5115353,Poor,Good,0
121041416,Neutral Bay - Kirribilli,121041416,Neutral Bay - Kirribilli,1,Good,Good,0
121041417,North Sydney - Lavender Bay,121041417,North Sydney - Lavender Bay,1,Good,Good,0
122011418,Balgowlah - Clontarf - Seaforth,122011418,Balgowlah - Clontarf - Seaforth,1,Good,Good,0
122011419,Manly - Fairlight,122011419,Manly - Fairlight,1,Good,Good,0
122021420,Avalon - Palm Beach,122021420,Avalon - Palm Beach,1,Good,Good,0
122021421,Bayview - Elanora Heights,122021421,Bayview - Elanora Heights,1,Good,Good,0
122021422,Newport - Bilgola,122021422,Newport - Bilgola,1,Good,Good,0
122021423,Warriewood - Mona Vale,122021690,Mona Vale - Warriewood (North),0.5655973,Poor,Good,0
122021423,Warriewood - Mona Vale,122021691,North Narrabeen - Warriewood (South),0.4344027,Poor,Good,0
122031424,Beacon Hill - Narraweena,122031424,Beacon Hill - Narraweena,1,Good,Good,0
122031425,Cromer,122031425,Cromer,1,Good,Good,0
122031426,Dee Why - North Curl Curl,122031694,Dee Why (South) - North Curl Curl,0.3537426,Poor,Good,0
122031426,Dee Why - North Curl Curl,122031695,Dee Why - North,0.6462574,Poor,Good,0
122031427,Forestville - Killarney Heights,122031427,Forestville - Killarney Heights,1,Good,Good,0
122031428,Frenchs Forest - Belrose,122031692,Belrose,0.3435914,Poor,Good,0
122031428,Frenchs Forest - Belrose,122031696,Frenchs Forest - Oxford Falls,0.6564086,Poor,Good,0
122031429,Freshwater - Brookvale,122031429,Freshwater - Brookvale,1,Good,Good,0
122031430,Manly Vale - Allambie Heights,122031430,Manly Vale - Allambie Heights,1,Good,Good,0
122031431,Narrabeen - Collaroy,122031693,Collaroy - Collaroy Plateau,0.5545385,Poor,Good,0
122031431,Narrabeen - Collaroy,122031697,Narrabeen - Wheeler Heights,0.4454615,Poor,Good,0
122031432,Terrey Hills - Duffys Forest,122031432,Terrey Hills - Duffys Forest,1,Good,Good,0
123011433,Camden - Ellis Lane,123011433,Camden - Ellis Lane,1,Good,Good,0
123011434,Elderslie - Harrington Park,123011699,Elderslie - Narellan,0.4988418,Poor,Good,0
123011434,Elderslie - Harrington Park,123011700,Harrington Park,0.5011582,Poor,Good,0
123011435,Mount Annan - Currans Hill,123011698,Currans Hill,0.1865491,Poor,Good,0
123011435,Mount Annan - Currans Hill,123011701,Mount Annan,0.6677616,Poor,Good,0
123011435,Mount Annan - Currans Hill,123011702,Spring Farm,0.1456893,Poor,Good,0
123021436,Bradbury - Wedderburn,123021436,Bradbury - Wedderburn,1,Good,Good,0
123021437,Campbelltown - Woodbine,123021437,Campbelltown - Woodbine,1,Good,Good,0
123021438,Claymore - Eagle Vale - Raby,123021438,Claymore - Eagle Vale - Raby,1,Good,Good,0
123021439,Holsworthy Military Area,123021439,Holsworthy Military Area,1,Good,Good,0
123021440,Ingleburn - Denham Court,123021703,Denham Court - Bardia,0.158187,Poor,Good,0
123021440,Ingleburn - Denham Court,123021705,Ingleburn,0.8385377,Acceptable,Good,0
123021440,Ingleburn - Denham Court,127011728,Leppington - Catherine Field,0.0032753,Poor,Good,1
123021441,Leumeah - Minto Heights,123021441,Leumeah - Minto Heights,1,Good,Good,0
123021442,Macquarie Fields - Glenfield,123021704,Glenfield,0.4069515,Poor,Good,0
123021442,Macquarie Fields - Glenfield,123021706,Macquarie Fields,0.5930485,Poor,Good,0
123021443,Minto - St Andrews,123021443,Minto - St Andrews,1,Good,Good,0
123021444,Rosemeadow - Glen Alpine,123021444,Rosemeadow - Glen Alpine,1,Good,Good,0
123031445,Bargo,123031445,Bargo,1,Good,Good,0
123031446,Douglas Park - Appin,123031446,Douglas Park - Appin,1,Good,Good,0
123031447,Picton - Tahmoor - Buxton,123031447,Picton - Tahmoor - Buxton,1,Good,Good,0
123031448,The Oaks - Oakdale,123031448,The Oaks - Oakdale,1,Good,Good,0
124011449,Blackheath - Megalong Valley,124011449,Blackheath - Megalong Valley,1,Good,Good,0
124011450,Blaxland - Warrimoo - Lapstone,124011450,Blaxland - Warrimoo - Lapstone,1,Good,Good,0
124011451,Blue Mountains - North,124011451,Blue Mountains - North,1,Good,Good,0
124011452,Katoomba - Leura,124011452,Katoomba - Leura,1,Good,Good,0
124011453,Lawson - Hazelbrook - Linden,124011453,Lawson - Hazelbrook - Linden,1,Good,Good,0
124011454,Springwood - Winmalee,124011454,Springwood - Winmalee,1,Good,Good,0
124011455,Wentworth Falls,124011455,Wentworth Falls,1,Good,Good,0
124021456,Blue Mountains - South,124021456,Blue Mountains - South,1,Good,Good,0
124031457,Cambridge Park,124031457,Cambridge Park,1,Good,Good,0
124031458,Castlereagh - Cranebrook,124031707,Cranebrook - Castlereagh,0.7135297,Poor,Good,0
124031458,Castlereagh - Cranebrook,124031708,Jordan Springs - Llandilo,0.2864703,Poor,Good,0
124031459,Emu Plains - Leonay,124031459,Emu Plains - Leonay,1,Good,Good,0
124031460,Glenmore Park - Regentville,124031460,Glenmore Park - Regentville,1,Good,Good,0
124031461,Jamisontown - South Penrith,124031461,Jamisontown - South Penrith,1,Good,Good,0
124031462,Kingswood - Werrington,124031462,Kingswood - Werrington,1,Good,Good,0
124031463,Mulgoa - Luddenham - Orchard Hills,124031463,Mulgoa - Luddenham - Orchard Hills,1,Good,Good,0
124031464,Penrith,124031464,Penrith,1,Good,Good,0
124031465,Warragamba - Silverdale,124031465,Warragamba - Silverdale,1,Good,Good,0
124041466,Richmond - Clarendon,124041466,Richmond - Clarendon,1,Good,Good,0
124041467,Windsor - Bligh Park,124041467,Windsor - Bligh Park,1,Good,Good,0
124041468,Yarramundi - Londonderry,124041468,Yarramundi - Londonderry,1,Good,Good,0
124051469,Erskine Park,124051469,Erskine Park,1,Good,Good,0
124051470,St Clair,124051470,St Clair,1,Good,Good,0
124051580,Colyton - Oxley Park,124051580,Colyton - Oxley Park,1,Good,Good,0
124051581,St Marys - North St Marys,124051581,St Marys - North St Marys,1,Good,Good,0
125011473,Homebush Bay - Silverwater,125011709,Silverwater - Newington,0.4831594,Poor,Good,0
125011473,Homebush Bay - Silverwater,125011710,Wentworth Point - Sydney Olympic Park,0.5168406,Poor,Good,0
125011475,Rookwood Cemetery,125011475,Rookwood Cemetery,1,Good,Good,0
125011582,Auburn - Central,125011582,Auburn - Central,1,Good,Good,0
125011583,Auburn - North,125011583,Auburn - North,1,Good,Good,0
125011584,Auburn - South,125011584,Auburn - South,1,Good,Good,0
125011585,Berala,125011585,Berala,1,Good,Good,0
125011586,Lidcombe,125011586,Lidcombe,1,Good,Good,0
125011587,Regents Park,125011587,Regents Park,1,Good,Good,0
125021476,Carlingford,125021711,Carlingford - East,0.4035695,Poor,Good,0
125021476,Carlingford,125021712,Carlingford - West,0.5964305,Poor,Good,0
125021477,Ermington - Rydalmere,125021477,Ermington - Rydalmere,1,Good,Good,0
125021478,Oatlands - Dundas Valley,125021478,Oatlands - Dundas Valley,1,Good,Good,0
125031479,Chester Hill - Sefton,125031479,Chester Hill - Sefton,1,Good,Good,0
125031480,Fairfield - East,125031480,Fairfield - East,1,Good,Good,0
125031481,Granville - Clyde,125031481,Granville - Clyde,1,Good,Good,0
125031482,Greystanes - Pemulwuy,125031713,Greystanes - South,0.614023,Poor,Good,0
125031482,Greystanes - Pemulwuy,125031715,Pemulwuy - Greystanes (North),0.385977,Poor,Good,0
125031483,Guildford - South Granville,125031483,Guildford - South Granville,1,Good,Good,0
125031484,Guildford West - Merrylands West,125031484,Guildford West - Merrylands West,1,Good,Good,0
125031485,Merrylands - Holroyd,125031714,Merrylands - Holroyd,0.7624893,Acceptable,Good,0
125031485,Merrylands - Holroyd,125031716,South Wentworthville,0.2375107,Poor,Good,0
125031486,Smithfield Industrial,125031486,Smithfield Industrial,1,Good,Good,0
125031487,Yennora Industrial,125031487,Yennora Industrial,1,Good,Good,0
125041489,North Parramatta,125041489,North Parramatta,1,Good,Good,0
125041490,North Rocks,125041490,North Rocks,1,Good,Good,0
125041491,Northmead,125041491,Northmead,1,Good,Good,0
125041492,Parramatta - Rosehill,125041717,Parramatta - North,0.29305,Poor,Good,0
125041492,Parramatta - Rosehill,125041718,Parramatta - South,0.3767675,Poor,Good,0
125041492,Parramatta - Rosehill,125041719,Rosehill - Harris Park,0.3301825,Poor,Good,0
125041493,Toongabbie - Constitution Hill,125041493,Toongabbie - Constitution Hill,1,Good,Good,0
125041494,Winston Hills,125041494,Winston Hills,1,Good,Good,0
125041588,Pendle Hill - Girraween,125041588,Pendle Hill - Girraween,1,Good,Good,0
125041589,Wentworthville - Westmead,125041589,Wentworthville - Westmead,1,Good,Good,0
126011495,Epping - North Epping,126011720,Epping (East) - North Epping,0.3943932,Poor,Good,0
126011495,Epping - North Epping,126011721,Epping (NSW) - West,0.6056068,Poor,Good,0
126011496,Pennant Hills - Cheltenham,126011496,Pennant Hills - Cheltenham,1,Good,Good,0
126021497,Eastwood - Denistone,126021722,Denistone,0.2767404,Poor,Good,0
126021497,Eastwood - Denistone,126021723,Eastwood,0.7232596,Poor,Good,0
126021498,Gladesville - Huntleys Point,126021498,Gladesville - Huntleys Point,1,Good,Good,0
126021499,Hunters Hill - Woolwich,126021499,Hunters Hill - Woolwich,1,Good,Good,0
126021500,Macquarie Park - Marsfield,126021500,Macquarie Park - Marsfield,1,Good,Good,0
126021501,North Ryde - East Ryde,126021501,North Ryde - East Ryde,1,Good,Good,0
126021503,West Ryde - Meadowbank,126021503,West Ryde - Meadowbank,1,Good,Good,0
126021590,Putney,126021590,Putney,1,Good,Good,0
126021591,Ryde,126021724,Ryde - North,0.7399246,Poor,Good,0
126021591,Ryde,126021725,Ryde - South,0.2600754,Poor,Good,0
127011504,Ashcroft - Busby - Miller,127011504,Ashcroft - Busby - Miller,1,Good,Good,0
127011505,Austral - Greendale,127011505,Austral - Greendale,1,Good,Good,0
127011506,Cobbitty - Leppington,123021703,Denham Court - Bardia,0.0002597,Poor,Good,1
127011506,Cobbitty - Leppington,127011726,Cobbitty - Bringelly,0.1437274,Poor,Good,0
127011506,Cobbitty - Leppington,127011727,Gledswood Hills - Gregory Hills,0.2678513,Poor,Good,0
127011506,Cobbitty - Leppington,127011728,Leppington - Catherine Field,0.3207333,Poor,Good,0
127011506,Cobbitty - Leppington,127011729,Oran Park,0.2674283,Poor,Good,0
127011592,Badgerys Creek,127011592,Badgerys Creek,1,Good,Good,0
127011593,Cecil Hills,127011593,Cecil Hills,1,Good,Good,0
127011594,Green Valley,127011594,Green Valley,1,Good,Good,0
127011595,Hinchinbrook,127011595,Hinchinbrook,1,Good,Good,0
127011596,Hoxton Park - Carnes Hill - Horningsea Park,127011596,Hoxton Park - Carnes Hill - Horningsea Park,1,Good,Good,0
127011597,West Hoxton - Middleton Grange,127011597,West Hoxton - Middleton Grange,1,Good,Good,0
127021509,Bonnyrigg Heights - Bonnyrigg,127021509,Bonnyrigg Heights - Bonnyrigg,1,Good,Good,0
127021510,Bossley Park - Abbotsbury,127021510,Bossley Park - Abbotsbury,1,Good,Good,0
127021511,Cabramatta - Lansvale,127021511,Cabramatta - Lansvale,1,Good,Good,0
127021512,Cabramatta West - Mount Pritchard,127021512,Cabramatta West - Mount Pritchard,1,Good,Good,0
127021513,Canley Vale - Canley Heights,127021513,Canley Vale - Canley Heights,1,Good,Good,0
127021514,Edensor Park,127021514,Edensor Park,1,Good,Good,0
127021515,Fairfield,127021515,Fairfield,1,Good,Good,0
127021516,Fairfield - West,127021516,Fairfield - West,1,Good,Good,0
127021517,Greenfield Park - Prairiewood,127021517,Greenfield Park - Prairiewood,1,Good,Good,0
127021518,Horsley Park - Kemps Creek,127021518,Horsley Park - Kemps Creek,1,Good,Good,0
127021519,Smithfield - Wetherill Park,127021519,Smithfield - Wetherill Park,1,Good,Good,0
127021520,St Johns Park - Wakeley,127021520,St Johns Park - Wakeley,1,Good,Good,0
127021521,Wetherill Park Industrial,127021521,Wetherill Park Industrial,1,Good,Good,0
127031522,Casula,127031522,Casula,1,Good,Good,0
127031523,Chipping Norton - Moorebank,127031523,Chipping Norton - Moorebank,1,Good,Good,0
127031524,Holsworthy - Wattle Grove,127031524,Holsworthy - Wattle Grove,1,Good,Good,0
127031598,Liverpool,127031731,Liverpool - East,0.5141273,Poor,Good,0
127031598,Liverpool,127031732,Liverpool - West,0.4858727,Poor,Good,0
127031599,Lurnea - Cartwright,127031599,Lurnea - Cartwright,1,Good,Good,0
127031600,Prestons - Edmondson Park,127031730,Edmondson Park,0.1282382,Poor,Good,0
127031600,Prestons - Edmondson Park,127031733,Prestons,0.8717618,Acceptable,Good,0
127031601,Warwick Farm,127031601,Warwick Farm,1,Good,Good,0
128011529,Gymea - Grays Point,128011529,Gymea - Grays Point,1,Good,Good,0
128011530,Miranda - Yowie Bay,128011530,Miranda - Yowie Bay,1,Good,Good,0
128011531,Sylvania - Taren Point,128011531,Sylvania - Taren Point,0.9996893,Good,Good,0
128011531,Sylvania - Taren Point,,,0.0003107,Poor,Good,4
128011602,Caringbah,128011602,Caringbah,1,Good,Good,0
128011603,Caringbah South,128011603,Caringbah South,1,Good,Good,0
128011604,Cronulla - Kurnell - Bundeena,128011604,Cronulla - Kurnell - Bundeena,1,Good,Good,0
128011605,Lilli Pilli - Port Hacking - Dolans Bay,128011605,Lilli Pilli - Port Hacking - Dolans Bay,1,Good,Good,0
128011606,Woolaware - Burraneer,128011606,Woolooware - Burraneer,1,Good,Good,0
128021533,Heathcote - Waterfall,128021533,Heathcote - Waterfall,1,Good,Good,0
128021534,Illawong - Alfords Point,128021534,Illawong - Alfords Point,1,Good,Good,0
128021535,Menai - Lucas Heights - Woronora,128021535,Menai - Lucas Heights - Woronora,1,Good,Good,0
128021536,Oyster Bay - Como - Jannali,128021536,Oyster Bay - Como - Jannali,1,Good,Good,0
128021537,Royal National Park,128021537,Royal National Park,1,Good,Good,0
128021538,Sutherland - Kirrawee,128021538,Sutherland - Kirrawee,1,Good,Good,0
128021607,Engadine,128021607,Engadine,1,Good,Good,0
128021608,Loftus - Yarrawarrah,128021608,Loftus - Yarrawarrah,1,Good,Good,0
128021609,Woronora Heights,128021609,Woronora Heights,1,Good,Good,0
197979799,Migratory - Offshore - Shipping (NSW),197979799,Migratory - Offshore - Shipping (NSW),1,Good,Good,0
199999499,No usual address (NSW),199999499,No usual address (NSW),1,Good,Good,0
201011001,Alfredton,201011001,Alfredton,1,Good,Good,0
201011002,Ballarat,201011002,Ballarat,1,Good,Good,0
201011003,Ballarat - North,201011481,Ballarat East - Warrenheip,0.3956269,Poor,Good,0
201011003,Ballarat - North,201011482,Ballarat North - Invermay,0.6043731,Poor,Good,0
201011004,Ballarat - South,201011483,Canadian - Mount Clear,0.467037,Poor,Good,0
201011004,Ballarat - South,201011484,Sebastopol - Redan,0.532963,Poor,Good,0
201011005,Buninyong,201011005,Buninyong,1,Good,Good,0
201011006,Delacombe,201011006,Delacombe,1,Good,Good,0
201011007,Smythes Creek,201011007,Smythes Creek,1,Good,Good,0
201011008,Wendouree - Miners Rest,201011008,Wendouree - Miners Rest,1,Good,Good,0
201021009,Bacchus Marsh Region,201021009,Bacchus Marsh Surrounds,1,Good,Good,0
201021010,Creswick - Clunes,201021010,Creswick - Clunes,1,Good,Good,0
201021011,Daylesford,201021011,Daylesford,1,Good,Good,0
201021012,Gordon (Vic.),201021012,Gordon (Vic.),1,Good,Good,0
201031013,Avoca,201031013,Avoca,1,Good,Good,0
201031014,Beaufort,201031014,Beaufort,1,Good,Good,0
201031015,Golden Plains - North,201031015,Golden Plains - North,1,Good,Good,0
201031016,Maryborough (Vic.),201031016,Maryborough (Vic.),1,Good,Good,0
201031017,Maryborough Region,201031017,Maryborough Surrounds,1,Good,Good,0
202011018,Bendigo,202011018,Bendigo,1,Good,Good,0
202011019,California Gully - Eaglehawk,202011019,California Gully - Eaglehawk,1,Good,Good,0
202011020,East Bendigo - Kennington,202011020,East Bendigo - Kennington,1,Good,Good,0
202011021,Flora Hill - Spring Gully,202011021,Flora Hill - Spring Gully,1,Good,Good,0
202011022,Kangaroo Flat - Golden Square,202011022,Kangaroo Flat - Golden Square,1,Good,Good,0
